protein_name,family,plddt
synthetic_protein_261,Orthomyxoviridae,99.9
synthetic_protein_262,Orthomyxoviridae,58.257805
synthetic_protein_263,Orthomyxoviridae,73.252305
synthetic_protein_264,Orthomyxoviridae,85.675048
synthetic_protein_265,Orthomyxoviridae,90.997748
synthetic_protein_266,Orthomyxoviridae,59.023294
synthetic_protein_267,Orthomyxoviridae,45.416576
synthetic_protein_268,Orthomyxoviridae,50.654495
synthetic_protein_269,Orthomyxoviridae,78.183328
synthetic_protein_270,Orthomyxoviridae,77.701952
synthetic_protein_271,Orthomyxoviridae,84.428291
synthetic_protein_272,Orthomyxoviridae,67.704878
synthetic_protein_273,Orthomyxoviridae,60.886435
synthetic_protein_274,Orthomyxoviridae,48.904324
synthetic_protein_275,Orthomyxoviridae,84.18781
synthetic_protein_276,Orthomyxoviridae,84.800809
synthetic_protein_277,Orthomyxoviridae,94.144905
synthetic_protein_278,Orthomyxoviridae,91.111935
synthetic_protein_279,Orthomyxoviridae,76.389266
synthetic_protein_280,Orthomyxoviridae,99.488914
synthetic_protein_281,Orthomyxoviridae,77.204496
synthetic_protein_282,Orthomyxoviridae,69.337454
synthetic_protein_283,Orthomyxoviridae,71.441323
synthetic_protein_284,Orthomyxoviridae,70.477825
synthetic_protein_285,Orthomyxoviridae,46.763949
synthetic_protein_286,Orthomyxoviridae,81.594891
synthetic_protein_287,Orthomyxoviridae,82.998284
synthetic_protein_288,Orthomyxoviridae,73.816013
synthetic_protein_289,Orthomyxoviridae,68.542378
synthetic_protein_290,Orthomyxoviridae,84.827057
synthetic_protein_291,Orthomyxoviridae,99.9
synthetic_protein_292,Orthomyxoviridae,79.823827
synthetic_protein_293,Orthomyxoviridae,71.635496
synthetic_protein_294,Orthomyxoviridae,70.378292
synthetic_protein_295,Orthomyxoviridae,78.203653
synthetic_protein_296,Orthomyxoviridae,60.278516
synthetic_protein_297,Orthomyxoviridae,77.37109
synthetic_protein_298,Orthomyxoviridae,80.167734
synthetic_protein_299,Orthomyxoviridae,99.9
synthetic_protein_300,Orthomyxoviridae,93.402106
synthetic_protein_301,Potyviridae,95.574322
synthetic_protein_302,Potyviridae,76.357566
synthetic_protein_303,Potyviridae,91.569137
synthetic_protein_304,Potyviridae,71.666793
synthetic_protein_305,Potyviridae,87.631568
synthetic_protein_306,Potyviridae,88.80611
synthetic_protein_307,Potyviridae,75.769496
synthetic_protein_308,Potyviridae,99.9
synthetic_protein_309,Potyviridae,90.44111
synthetic_protein_310,Potyviridae,63.269989
synthetic_protein_311,Potyviridae,90.281459
synthetic_protein_312,Potyviridae,79.71847
synthetic_protein_313,Potyviridae,84.215138
synthetic_protein_314,Potyviridae,89.323413
synthetic_protein_315,Potyviridae,88.495859
synthetic_protein_316,Potyviridae,61.769335
synthetic_protein_317,Potyviridae,71.458483
synthetic_protein_318,Potyviridae,92.698866
synthetic_protein_319,Potyviridae,98.513247
synthetic_protein_320,Potyviridae,99.9
synthetic_protein_321,Potyviridae,99.9
synthetic_protein_322,Potyviridae,61.589097
synthetic_protein_323,Potyviridae,92.664303
synthetic_protein_324,Potyviridae,63.120808
synthetic_protein_325,Potyviridae,99.9
synthetic_protein_326,Potyviridae,86.986843
synthetic_protein_327,Potyviridae,71.647143
synthetic_protein_328,Potyviridae,99.9
synthetic_protein_329,Potyviridae,91.28368
synthetic_protein_330,Potyviridae,63.397362
synthetic_protein_331,Potyviridae,87.428149
synthetic_protein_332,Potyviridae,76.157461
synthetic_protein_333,Potyviridae,85.42425
synthetic_protein_334,Potyviridae,79.082859
synthetic_protein_335,Potyviridae,99.308433
synthetic_protein_336,Potyviridae,68.54385
synthetic_protein_337,Potyviridae,87.691457
synthetic_protein_338,Potyviridae,99.9
synthetic_protein_339,Potyviridae,75.103437
synthetic_protein_340,Potyviridae,86.517135
synthetic_protein_341,Potyviridae,86.422018
synthetic_protein_342,Potyviridae,76.613276
synthetic_protein_343,Potyviridae,91.32683
synthetic_protein_344,Potyviridae,85.267553
synthetic_protein_345,Potyviridae,73.818557
synthetic_protein_346,Potyviridae,99.9
synthetic_protein_347,Potyviridae,92.907765
synthetic_protein_348,Potyviridae,82.361824
synthetic_protein_349,Potyviridae,77.196578
synthetic_protein_350,Potyviridae,75.572011
synthetic_protein_351,Rhabdoviridae,96.486938
synthetic_protein_352,Rhabdoviridae,71.693392
synthetic_protein_353,Rhabdoviridae,82.599888
synthetic_protein_354,Rhabdoviridae,71.009779
synthetic_protein_355,Rhabdoviridae,85.42537
synthetic_protein_356,Rhabdoviridae,72.242376
synthetic_protein_357,Rhabdoviridae,88.07937
synthetic_protein_358,Rhabdoviridae,71.032204
synthetic_protein_359,Rhabdoviridae,89.262571
synthetic_protein_360,Rhabdoviridae,86.432914
synthetic_protein_361,Rhabdoviridae,72.231024
synthetic_protein_362,Rhabdoviridae,58.85401
synthetic_protein_363,Rhabdoviridae,57.40784
synthetic_protein_364,Rhabdoviridae,60.996737
synthetic_protein_365,Rhabdoviridae,56.609222
synthetic_protein_366,Rhabdoviridae,89.914336
synthetic_protein_367,Rhabdoviridae,73.491158
synthetic_protein_368,Rhabdoviridae,99.9
synthetic_protein_369,Rhabdoviridae,99.9
synthetic_protein_370,Rhabdoviridae,74.766004
synthetic_protein_371,Rhabdoviridae,46.46569
synthetic_protein_372,Rhabdoviridae,67.463836
synthetic_protein_373,Rhabdoviridae,72.973728
synthetic_protein_374,Rhabdoviridae,47.538038
synthetic_protein_375,Rhabdoviridae,69.821121
synthetic_protein_376,Rhabdoviridae,79.495034
synthetic_protein_377,Rhabdoviridae,66.060299
synthetic_protein_378,Rhabdoviridae,60.498333
synthetic_protein_379,Rhabdoviridae,60.672378
synthetic_protein_380,Rhabdoviridae,99.9
synthetic_protein_381,Rhabdoviridae,71.456371
synthetic_protein_382,Rhabdoviridae,59.391258
synthetic_protein_383,Rhabdoviridae,67.617829
synthetic_protein_384,Rhabdoviridae,91.508187
synthetic_protein_385,Rhabdoviridae,62.005615
synthetic_protein_386,Rhabdoviridae,83.003252
synthetic_protein_387,Rhabdoviridae,87.431929
synthetic_protein_388,Rhabdoviridae,87.814121
synthetic_protein_389,Rhabdoviridae,99.524504
synthetic_protein_390,Rhabdoviridae,64.421324
synthetic_protein_391,Rhabdoviridae,94.719192
synthetic_protein_392,Rhabdoviridae,60.058635
synthetic_protein_393,Rhabdoviridae,67.192282
synthetic_protein_394,Rhabdoviridae,95.859569
synthetic_protein_395,Rhabdoviridae,89.132757
synthetic_protein_396,Rhabdoviridae,74.367756
synthetic_protein_397,Rhabdoviridae,52.884551
synthetic_protein_398,Rhabdoviridae,84.439877
synthetic_protein_399,Rhabdoviridae,62.983291
synthetic_protein_400,Rhabdoviridae,57.700073
synthetic_protein_401,Sedoreoviridae,71.392389
synthetic_protein_402,Sedoreoviridae,82.127928
synthetic_protein_403,Sedoreoviridae,53.717615
synthetic_protein_404,Sedoreoviridae,83.499158
synthetic_protein_405,Sedoreoviridae,81.256915
synthetic_protein_406,Sedoreoviridae,72.155683
synthetic_protein_407,Sedoreoviridae,91.613128
synthetic_protein_408,Sedoreoviridae,86.507285
synthetic_protein_409,Sedoreoviridae,71.89459
synthetic_protein_410,Sedoreoviridae,71.129801
synthetic_protein_411,Sedoreoviridae,87.511818
synthetic_protein_412,Sedoreoviridae,60.977117
synthetic_protein_413,Sedoreoviridae,75.178531
synthetic_protein_414,Sedoreoviridae,71.597442
synthetic_protein_415,Sedoreoviridae,80.00853
synthetic_protein_416,Sedoreoviridae,81.703518
synthetic_protein_417,Sedoreoviridae,79.611455
synthetic_protein_418,Sedoreoviridae,92.788177
synthetic_protein_419,Sedoreoviridae,81.906756
synthetic_protein_420,Sedoreoviridae,75.390093
synthetic_protein_421,Sedoreoviridae,64.639741
synthetic_protein_422,Sedoreoviridae,87.832198
synthetic_protein_423,Sedoreoviridae,85.507759
synthetic_protein_424,Sedoreoviridae,96.579715
synthetic_protein_425,Sedoreoviridae,70.200542
synthetic_protein_426,Sedoreoviridae,79.487016
synthetic_protein_427,Sedoreoviridae,78.465688
synthetic_protein_428,Sedoreoviridae,78.11867
synthetic_protein_429,Sedoreoviridae,79.294683
synthetic_protein_430,Sedoreoviridae,58.595526
synthetic_protein_431,Sedoreoviridae,89.069826
synthetic_protein_432,Sedoreoviridae,87.00847
synthetic_protein_433,Sedoreoviridae,92.735681
synthetic_protein_434,Sedoreoviridae,99.9
synthetic_protein_435,Sedoreoviridae,75.342394
synthetic_protein_436,Sedoreoviridae,78.736282
synthetic_protein_437,Sedoreoviridae,79.287403
synthetic_protein_438,Sedoreoviridae,99.9
synthetic_protein_439,Sedoreoviridae,58.395363
synthetic_protein_440,Sedoreoviridae,84.999216
synthetic_protein_441,Sedoreoviridae,61.520024
synthetic_protein_442,Sedoreoviridae,48.191151
synthetic_protein_443,Sedoreoviridae,54.920007
synthetic_protein_444,Sedoreoviridae,62.588777
synthetic_protein_445,Sedoreoviridae,91.998305
synthetic_protein_446,Sedoreoviridae,68.749675
synthetic_protein_447,Sedoreoviridae,76.440508
synthetic_protein_448,Sedoreoviridae,65.207847
synthetic_protein_449,Sedoreoviridae,86.501406
synthetic_protein_450,Sedoreoviridae,65.946462
synthetic_protein_451,Betaflexiviridae,93.084174
synthetic_protein_452,Betaflexiviridae,67.66584
synthetic_protein_453,Betaflexiviridae,70.176898
synthetic_protein_454,Betaflexiviridae,79.940151
synthetic_protein_455,Betaflexiviridae,78.861823
synthetic_protein_456,Betaflexiviridae,94.261591
synthetic_protein_457,Betaflexiviridae,79.91448
synthetic_protein_458,Betaflexiviridae,65.303823
synthetic_protein_459,Betaflexiviridae,72.426312
synthetic_protein_460,Betaflexiviridae,72.289377
synthetic_protein_461,Betaflexiviridae,86.565464
synthetic_protein_462,Betaflexiviridae,82.811723
synthetic_protein_463,Betaflexiviridae,77.276699
synthetic_protein_464,Betaflexiviridae,88.155679
synthetic_protein_465,Betaflexiviridae,72.776539
synthetic_protein_466,Betaflexiviridae,77.091429
synthetic_protein_467,Betaflexiviridae,80.578364
synthetic_protein_468,Betaflexiviridae,95.399994
synthetic_protein_469,Betaflexiviridae,77.506135
synthetic_protein_470,Betaflexiviridae,74.731212
synthetic_protein_471,Betaflexiviridae,67.085793
synthetic_protein_472,Betaflexiviridae,86.136574
synthetic_protein_473,Betaflexiviridae,72.125901
synthetic_protein_474,Betaflexiviridae,82.370535
synthetic_protein_475,Betaflexiviridae,57.672291
synthetic_protein_476,Betaflexiviridae,90.065057
synthetic_protein_477,Betaflexiviridae,63.938685
synthetic_protein_478,Betaflexiviridae,70.039234
synthetic_protein_479,Betaflexiviridae,90.234392
synthetic_protein_480,Betaflexiviridae,63.910822
synthetic_protein_481,Betaflexiviridae,77.715995
synthetic_protein_482,Betaflexiviridae,79.406817
synthetic_protein_483,Betaflexiviridae,67.605875
synthetic_protein_484,Betaflexiviridae,93.362263
synthetic_protein_485,Betaflexiviridae,95.076561
synthetic_protein_486,Betaflexiviridae,56.902207
synthetic_protein_487,Betaflexiviridae,62.651107
synthetic_protein_488,Betaflexiviridae,87.480554
synthetic_protein_489,Betaflexiviridae,64.256735
synthetic_protein_490,Betaflexiviridae,74.314989
synthetic_protein_491,Betaflexiviridae,80.015073
synthetic_protein_492,Betaflexiviridae,86.200351
synthetic_protein_493,Betaflexiviridae,76.134221
synthetic_protein_494,Betaflexiviridae,79.63743
synthetic_protein_495,Betaflexiviridae,70.045938
synthetic_protein_496,Betaflexiviridae,92.805978
synthetic_protein_497,Betaflexiviridae,73.141548
synthetic_protein_498,Betaflexiviridae,82.327062
synthetic_protein_499,Betaflexiviridae,72.961981
synthetic_protein_500,Betaflexiviridae,79.759558
